STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2000,34.21
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2001,32.61
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2002,42.88
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2003,57.94
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2004,42.19
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2005,37.8
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2006,35.59
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2007,36.83
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2008,46.08
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2009,45.56
USC00464840,"KEYSER 2 SSW, WV US",39.42127,-79.00513,294.1,2010,34.83
