STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2000,32.46
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2001,41.66
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2002,44.68
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2003,50.51
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2005,33.13
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2006,40.7
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2007,30.7
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2008,34.53
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2009,49.21
USC00467207,"PRINCETON, WV US",37.3854,-81.08233,725.7,2010,41.73
